token	normalised
lı	li
tun	tun
conseıl	conseil
m	m
ɑt	at
meı́nt	meínt
mestı́r	mestír
eü	eü
ɑs	as
colps	colps
doner	doner
ɑl	al
brɑnt	brant
d	d
ɑcı́r	acír
mulu	mulu
te	te
ɑı	ai
deuɑnt	devant
meı	mei
tut	tut
dı́s	dís
bñ	bin
coneü	coneü
.	.
trestut	trestut
recuuerent	recuverent
ent᷑re	enturre
le	le
tun	tun
escu	escu
.	.
ɑınz	ainz
ke	ke
le	le
tun	tun
tresor	tresor
ı	i
seıt	seit
uenu	venu
.	.
vos	vos
ert	ert
lı́	lí
mıens	miens
pɑr	par
mɑtınet	matinet
rendu	rendu
men	men
escıntre	escintre
quɑnt	quant
tu	tu
l	l
ɑuers	avers
uev̈	veü
me	me
dırɑs	diras
k	k
enkes	enkes
grennur	grennur
ne	ne
fu	fu
.	.
cɑr	car
de	de
duner	duner
mɑr	mar
serrɑs	serras
esꝑerdu	espererdu
tɑnt	tant
en	en
donez	donez
que	que
tuz	tuz
ɑeız	aeiz
uencu	vencu
Que	que
tut	tut
s	s
en	en
ɑugent	augent
de	de
ı́oı́e	j́oíe
reuestuz	revestuz
.	.
Quɑnt	quant
lı	li
duc	duc
.N.	Naimes
ot	ot
pɑrler	parler
sun	sun
seınvR	seinur
ıdunc	idunc
ot	ot
gre	gre
ıoıe	joie
unches	unches
n	n
en	en
ot	ot
grenur	grenur
.	.
Bɑrun	barun
fet	fet
ıl	il
nel	nel
tenéz	tenéz
ɑ	a
folur	folur
.	.
cestuı	cestui
seruéz	servéz
sɑnz	sanz
nul	nul
contredı́tur	contredítur
kı	ki
ɑprez	aprez
deu	deu
ɑ	a
sur	sur
tuz	tuz
lɑ	la
uɑlur	valur
.	.
Jo	jo
en	en
suı	sui
ostɑge	ostage
ɑl	al
grɑnt	grant
e	e
ɑl	al
menur	menur
.	.
tel	tel
ı́	í
unt	unt
sa	sa
fı́z	fíz
ɑ	a
pouere	povere
uɑuɑsur	vavasur
kı	ki
ɑl	al
pɑrtır	partir
serɑt	serat
duc	duc
v	u
conteur	conteur
.	.
A	a
vns	uns
ɑrceuesques	arcevesques
cõmẽce	commence
ɑ	a
pɑller	paller
Gentı́z	gentíz
hum	hum
fud	fud
e	e
ıoıfne	joifne
bɑchelér	bachelér
a	a
grɑnt	grant
merueılle	merveille
se	se
fet	fet
ɑ	a
tuz	tuz
ɑmer	amer
.	.
n	n
ɑ	a
duc	duc
en	en
frɑnce	france
tant	tant
se	se
sɑce	sace
pener	pener
kı	ki
sı	si
grɑnt	grant
cust	cust
uoılle	voille
ɑ	a
tuz	tuz
mener	mener
.	.
Mıeuz	mieuz
eme	eme
ıl	il
cheuɑls	chevals
ɑchɑter	achater
e	e
beles	beles
ɑrmes	armes
ɑs	as
uɑllez	vallez
ɑdubber	adubber
Qu	qu
ıl	il
ne	ne
faı́t	faít
tresor	tresor
ɑ́	á
ɑ́mɑssezR	ámassezr
.	.
Ne	ne
herıtage	heritage
ne	ne
feu	feu
ne	ne
uolt	volt
clɑmer	clamer
e	e
quı	qui
uoldrɑt	voldrat
le	le
reı́	reí
desherıter	desheriter
Jl	il
deı́t	deít
en	en
l	l
ost	ost
ensemle	ensemle
od	od
Luı	lui
ɑler	aler
porter	porter
ses	ses
ɑrmes	armes
e	e
sun	sun
cheuɑl	cheval
mener	mener
cũbɑtreunt	cumbatreunt
seı	sei
sɑnz	sanz
nul	nul
desordener	desordener
.	.
ɑ	a
l	l
ɑpostoılle	apostoille
le	le
cõmence	commence
ɑ	a
mustrer	mustrer
sıre	sire
ɑpostoılle	apostoille
ne	ne
uos	vos
en	en
deıt	deit
peser	peser
.	.
nus	nus
deuũ	devun
ml̃t	mut
les	les
cheuɑlı́rs	chevalírs
ɑmer	amer
Quɑnt	quant
nus	nus
sumes	sumes
ɑ	a
nostre	nostre
dısner	disner
e	e
nus	nus
serruns	serruns
ɑ	a
mɑtınes	matines
chɑnter	chanter
Jl	il
se	se
cumbɑtent	cumbatent
pur	pur
les	les
ɑlmes	almes
sɑuuer	sauver
e	e
nos	nos
e	e
cest	cest
uostre	vostre
ɑbbes	abbes
fromer	fromer
Deuuns	devuns
pur	pur
eus	eus
noz	noz
tͤsor	tresor
enfundre	enfundre
.	.
tɑnt	tant
lor	lor
en	en
deı́t	deít
chɑscun	chascun
de	de
nos	nos
doner	doner
Que	que
ıl	il
nos	nos
uıegent	viegent
seruı́r	servír
e	e
honoreR	honorer
.	.
	e
ɑınz	ainz
que	que
lı́	lí
reı́s	reís
se	se
lıfe	life
de	de
suz	suz
le	le
pı́n	pín
ne	ne
qu	qu
ıl	il
se	se
dresse	dresse
del	del
perun	perun
ɑcerı́n	acerín
les	les
drɑs	dras
de	de
seı́	seí
de	de
pɑılle	paille
ɑlısɑndrı́n	alisandrín
Les	les
grɑnz	granz
ostrus	ostrus
les	les
fɑlcus	falcus
peteuı́n	petevín
Les	Les
rıches	riches
pıeres	pieres
e	e
les	les
copes	copes
d	d
or	or
fın	fin
Jceles	iceles
dune	dune
.k.	Karles
lı	li
fız	fiz
pepı́n	pepín
as	as
gentı́z	gentíz
hũmes	hummes
ke	ke
sunt	sunt
de	de
rıche	riche
lı́n	lín
.	.
Les	les
pɑlefrɑıs	palefrais
les	les
drɑs	dras
e	e
les	les
denıers	deniers
ces	ces
done	done
.k.	Karles
ɑs	as
poures	povres
cheuɑlıer	chevaliers
Le	le
ver	ver
le	le
grı́s	grís
e	e
les	les
ıgnɑus	ignaus
destrır	destrirs
Les	les
fɑlcus	falcus
.	.
les	les
muez	muez
esperuı́rz	espervírz
Cels	cels
done	done
.k.	Karles
ɑs	as
bɑchellers	bachellers
legers	legers
ɑs	as
dɑmısıɑus	damisiaus
ɑs	as
nouɑıs	novais
prımsɑutırs	primsautirs
Duc	duc
fıst	fist
lı	li
reıs	reis
ɑ	a
chɑscun	chascun
sun	sun
uoleR	voler
treıs	treis
cent	cent
chevɑs	chevas
ı	i
donɑt	donat
eınz	einz
le	le
ser	ser
.	.
Nɑı́me	naíme
pɑrole	parole
quı	qui
ot	ot
le	le
grɑnt	grant
sɑveı́r	saveír
seıgnurs	seignurs
fɑı́t	faít
ıl	il
ıo	jo
uos	vos
uoıl	voil
dıre	dire
uer	ver
a	a
cestuı	cestui
deıt	deit
curone	curone
ɑl	al
chıf	chif
seér	seér
Jl	il
put	put
u͛s	vers
deu	deu
⁊	et
ɑl	al
puple	puple
uɑler	valer
De	de
cestuı	cestui
faıtes	faites
nrẽ	nostre
sıre	sire
e	e
uostre	vostre
ér	ér
.	.
kı	ki
ɑprés	aprés
deu	deu
ɑd	ad
sur	sur
