token	normalised
vnc	unc
au	au
test	test
de	de
la	la
coefe	coefe
en	en
abatit	abatit
ou	ou
pre	pre
	et
des	des
cheuoux	chevoux
du	du
chief	chief
gͣnt	grant
ꝑtie	partie
rase	rase
Damedex	Damedex
le	le
garda	garda
q̃	que
en	en
char	char
ne	ne
l	l
a	a
touche	touche
	et
li	li
cuens	cuens
refiert	refiert
lui	lui
ꝑ	par
uiue	vive
postae	postae
J	i
esma	esma
.i.	.i.
gͣnt	grant
cop	cop
sor	sor
le	le
heaume	heaume
ieme	jeme
.f̃.	Fierabras
uoit	voit
le	le
cop	cop
que	que
il	il
l	l
a	a
asine	asine
Ce	Ce
que	que
il	il
tint	tint
de	de
l	l
escu	escu
a	a
en	en
contre	contre
gete	gete
Q̃	que
tot	tot
a	a
descouert	descovert
li	li
flanc	flanc
	et
li	li
coste	coste
Ol̃.	Olivier
l	l
aꝑcoit	apercoit
mout	mout
l	l
a	a
bien	bien
auisie	avisie
au	au
retraire	retraire
le	le
fiert	fiert
du	du
branc	branc
qͥ	qui
est	est
letre	letre
par	par
desor	desor
la	la
maimelle	maimelle
li	li
a	a
gͣnt	grant
cop	cop
done	done
Li	Li
blanc	blanc
auberc	auberc
li	li
a	a
desrot	desrot
	et
desmaelle	desmaelle
Le	Le
chaual	chaval
ꝑ	par
desoz	desoz
lia	lia
tout	tout
detͣnchie	detranchie
Li	Li
cuens	cuens
li	li
apoia	apoia
que	que
li	li
cuer	cuer
ot	ot
irie	irie
Tout	Tout
i	i
a	a
sa	sa
u͛tu	vertu
	et
son	son
branc	branc
bien	bien
bote	bote
Delez	Delez
li	li
flanc	flanc
senestre	senestre
li	li
a	a
li	li
branc	branc
cole	cole
Duc	Duc
enz	enz
en	en
mie	mie
l	l
eschine	eschine
l	l
a	a
tͣchie	trachie
	et
cope	cope
a	a
poi	poi
q̃	que
li	li
boel	boel
ne	ne
li	li
sunt	sunt
hors	hors
uole	vole
Mes	Mes
i	i
n	n
en	en
i	i
ot	ot
nus	nus
maumis	maumis
ne	ne
empere	empere
Li	Li
sanc	sanc
a	a
gͣnt	grant
foison	foison
li	li
ist	ist
hors	hors
du	du
coste	coste
Oez	Oez
de	de
.f̃.	Fierabras
ꝯ	com
fut	fut
de	de
gͣnt	grant
fierte	fierte
Contremont	Contremont
uers	vers
li	li
ciel	ciel
a	a
li	li
rois	rois
regarde	regarde
de	de
damedex	damedex
li	li
mẽbre	membre
	et
de	de
la	la
tͥnite	trinite
	et
du	du
saint	saint
esperit	esperit
a	a
li	li
cors	cors
alume	alume
Ol̃.	Olivier
apela	apela
m͛ci	merci
li	li
a	a
crie	crie
Gentix	Gentix
hons	hons
de	de
bonhiere	bonhiere
ne	ne
m	m
ocire	ocire
por	por
de	de
Si	Si
m	m
en	en
iroi	iroi
a	a
.k.	Karles
li	li
fort	fort
rois	rois
corone	corone
	et
ge	ge
ti	ti
creanc	creanc
bien	bien
de	de
sor	sor
me	me
leaute	leaute
Q̃	que
ge	ge
tendroi	tendroi
la	la
foi	foi
	et
la	la
crestiente	crestiente
	et
rendroi	rendroi
la	la
corone	corone
	et
li	li
sine	sine
aoure	aoure
	et
les	les
diues	dives
reliq̃s	reliques
dom	dom
i	i
a	a
tel	tel
plante	plante
por	por
coi	coi
les	les
pri	pri
ge	ge
onq̃s	onques
chaetif	chaetif
maleure	maleure
honte	honte
m	m
en	en
est	est
uenue	venue
ie	je
soi	soi
de	de
u͛ite	verite
Ol̃.	Olivier
gentis	gentis
hons	hons
aiez	aiez
de	de
moi	moi
pitie	pitie
Si	Si
ge	ge
mer	mer
sarr̃.	sarrasin
il	il
uos	vos
iert	iert
reꝓue	reprove
Ber	Ber
si	si
tu	tu
ne	ne
m	m
i	i
tienz	tienz
ia	ja
m	m
i	i
u͛ras	verras
u͛se	verse
Qͣnt	Quant
l	l
entent	entent
Ol̃.	Olivier
si	si
de	de
pitie	pitie
plore	plore
De	De
soz	soz
l	l
arbre	arbre
le	le
chouche	chouche
belement	belement
	et
soëf	soëf
uaincue	vaincue
est	est
la	la
bataille	bataille
	et
li	li
chãp	champ
afinez	afinez
Ol̃.	Olivier
prist	prist
li	li
rois	rois
qui	qui
ml̃t	mout
estoit	estoit
nafrez	nafrez
Deuant	Devant
lui	lui
le	le
choucha	choucha
belement	belement
	et
soef	soef
d	d
un	un
peu	peu
de	de
son	son
bliaut	bliaut
li	li
a	a
bende	bende
les	les
costez	costez
Sire	Sire
dist	dist
.f̃.	Fierabras
por	por
dex	dex
car	car
m	m
en	en
portez	portez
volentiers	volentiers
m	m
i	i
feroi	feroi
baptizier	baptizier
	et
leuer	lever
Si	Si
ge	ge
mer	mer
sarr̃.	sarrasin
il	il
uos	vos
iert	iert
reꝓuez	reprovez
Certes	Certes
dist	dist
Ol̃.	Olivier
ie	je
sui	sui
en	en
gͣnt	grant
pensez	pensez
Ja	ja
par	par
moi	moi
n	n
i	i
serez	serez
chargiez	chargiez
ne	ne
remuez	remuez
Li	Li
sarr̃.	sarrasins
s	s
esforce	esforce
pres	pres
de	de
lui	lui
est	est
alez	alez
adonq̃s	adonques
sunt	sunt
