token	normalised
deuãt	devant
uaunuble	vaunuble
a	a
.RI.	Rigaus
siege	siege
mis	mis
Ont	Ont
il	il
biẽ	bien
iẽt	jent
ce	ce
dit	dit
l'	l'
ẽꝑeriz	empereriz
Oïl	Oïl
ma	ma
dame	dame
foi	foi
q̃	que
doi	doi
s̃	saint
denis	denis
biẽ	bien
sõt	sont
.iij.M.	.iii.m.
de	de
ch̃rs	chevaliers
gentis	gentis
huimes	huimes
deuõ	devon
a	a
be.	Begon
reuenir	revenir
Riche	riche
seruise	servise
ẽ	en
fist	fist
l'	l'
ẽꝑeriz'	empereriz'
beg̃	Begon
emportẽt	emportent
au	au
loh͛an	loheran
Garĩ	garin
ardane	ardane
lessẽt	lessent
ẽ	en
ardenois	ardenois
sõt	sont
mis	mis
ẽ	en
loh͛aine	loheraine
d'	d'
autre	autre
ꝑt	part
sõt	sont
ganchi	ganchi
de	de
ci	ci
a	a
gorde	gorde
ne	ne
pͥstrẽt	pristrent
onq̃s	onques
fĩ	fin
ces	ces
damoiseles	damoiseles
chant͛	chanter
	et
esbaudir	esbaudir
halte	halte
est	est
la	la
feste	feste
chascũs	chascuns
la	la
uialt	vialt
oïr	oïr
Saĩte	Sainte
marie	marie
ce	ce
dit	dit
li	li
dus	dus
Garĩs	garins
Reine	reine
dame	dame
qͥ	qui
lo	lo
cors	cors
deu	deu
tenis	tenis
sauue	sauve
mõ	mon
cors	cors
	et
tͤstoz	trestoz
mes	mes
amis	amis
Li	Li
cuers	cuers
me	me
trãble	tramble
	et
me	me
prẽt	prent
a	a
dolir	dolir
Qͥl'	qu'
	il
m'	m'
est	est
auis	avis
qͥl'	qu'
	iil
me	me
doie	doie
ꝑtir	partir
dex	dex
se	se
c'	c'
est	est
biẽ	bien
qͥ	qui
me	me
doie	doie
auenir	avenir
donez	donez
lo	lo
moi	moi
sire	sire
ꝑ	par
tens	tens
ueïr	veïr
	et
d'	d'
autre	autre
chose	chose
se	se
toi	toi
plest	plest
m'	m'
escͤmis	escremis
dites	dites
lo	lo
moi	moi
d'	d'
o	o
uenez	venez
u9	vos
amis	amis
de	de
s̃	saint
amant	amant
de	de
ce	ce
nrẽ	nostre
païs	païs
Meumes	meumes
nos	nos
n'	n'
a	a
mie	mie
.xv.	.xv.
dis	dis
Q̃x	Quex
hõ	hom
est	est
ce	ce
q'	q'
ã	an
cele	cele
biere	biere
gist	gist
Est	Est
il	il
malades	malades
o	o
nauͤz	navrez
o	o
ocis	ocis
	et
dit	dit
li	li
abes	abes
u9	vos
lo	lo
sauroiz	sauroiz
ꝑ	par
mi	mi
C'	C'
est	est
urẽs	vostres
freres	freres
d9	dus
.be.	Begues
de	de
belin	belin
en	en
la	la
forest	forest
.fro.	Fromont
lo	lo
posteïf	posteïf
Lo	Lo
u9	vos
a	a
l'	l'
en	en
detranchie	detranchie
	et
ocis	ocis
Li	Li
d9	dus
l'	l'
entẽt	entent
a	a
po	po
n'	n'
ẽraie	enraje
uis	vis
Grant	grant
duel	duel
	et
grant	grant
cri	cri
Nes	nes
deu	deu
tonãt	tonant
n'	n'
i	i
poist	poist
an	an
oïr	oïr
Garĩs	Garins
se	se
pasme	pasme
q̃	que
ne	ne
s'	s'
ẽ	en
pot	pot
tenir	tenir
au	au
releu͛	relever
or	or
oiez	oiez
q̃	que
il	il
dist	dist
por	por
coi	coi
biau	biau
frere	frere
u9	vos
a	a
.fro.	Fromont
ocis	ocis
Ja	ja
disoit	disoit
il	il
qͥl'	qu'
	il
estoit	estoit
nrẽ	nostre
amis'	amis'
Nos	nos
estien	estien
g͛roie	guerroie
	et
haï	haï
La	La
pes	pes
fu	fu
fete	fete
deuãt	devant
lo	lo
roi	roi
pepĩ	pepin
Or	or
u9	vos
õt	ont
mort	mort
ia	ja
n'	n'
en	en
puissẽt	puissent
ioïr	joïr
Mes	mes
ꝑ	par
celui	celui
qͥ	qui
de	de
l'	l'
eue	eve
fist	fist
uin	vin
