token	normalised
QVi	qui
ueust	veust
oïr	oïr
chançõ	chançon
de	de
biau	biau
semblãt	semblant
Si	si
face	face
paiz	paiz
si	si
se	se
traie	traie
en	en
auant	avant
S	s
orra	orra
la	la
flor	flor
de	de
la	la
geste	geste
vaillant	vaillant
Du	du
fiz	fiz
pepĩ	pepin
le	le
riche	riche
roi	roi
poissant	poissant
Des	des
.xii.	.xii.
pers	pers
qͥ	qui
s	s
entramerẽt	entramerent
tant	tant
Tant	Tant
s	s
entramerẽt	entramerent
ce	ce
trouon	trovon
nos	nos
lisant	lisant
ne	ne
se	se
grepirẽt	grepirent
onq̃s	onques
ẽ	en
lor	lor
uiuant	vivant
De	de
ci	ci
au	au
ior	jor
q̃	que
il	il
furent	furent
morant	morant
en	en
roinceuaux	roincevaux
ov	ou
furent	furent
ꝯbatant	combatant
Contͤ	Contre
garsile	garsile
le	le
riche	riche
roi	roi
poissant	poissant
Que	que
li	li
fel	fel
guennes	guennes
le	le
cuuers	cuvers
sodïant	sodïant
Les	les
i	i
vendi	vendi
ce	ce
seuent	sevent
li	li
auquant	auquant
Cel	Cel
ior	jor
meismes	meismes
qu	qu
il	il
furent	furent
ꝯbatant	combatant
en	en
i	i
morut	morut
.xxx..M.	.xxx..m.
	et
.vii.	.vii.
cent	cent
De	de
noz	noz
barons	barons
dont	dont
.kll̃.	Karles
fu	fu
dolant	dolant
Cil	Cil
iugleour	jugleour
n	n
en	en
dient	dient
tãt	tant
ne	ne
qͣnt	quant
Car	Car
il	il
ne	ne
seuẽt	sevent
le	le
gͣnt	grant
enꝯbrement	encombrement
Qu	qu
auint	avint
a	a
.kll̃.	Karles
q̃	que
dex	dex
ꝑama	parama
tant	tant
Qͥ	qu
l	il
fist	fist
miracles	miracles
por	por
lui	lui
en	en
son	son
uiuant	vivant
Ce	Ce
fu	fu
a	a
pasq̃s	pasques
si	si
ꝯme	comme
oï	oï
auon	avon
qQ̃	que
.kll̃.	Karles
tint	tint
sa	sa
court	court
a	a
ꝑis	paris
sa	sa
meson	meson
Adoc	adoc
i	i
furent	furent
li	li
.xii.	.xii.
ꝯpaignon	compaignon
mMl̃t	mout
fut	fut
pleniere	pleniere
de	de
gient	gient
i	i
ot	ot
foison	foison
Maĩt	maint
ꝯte	conte
i	i
ot	ot
maĩt	maint
pͥnce	prince
	et
maĩt	maint
baron	baron
Maĩt	maint
ch̃r	chevalier
qͥ	qui
s̃t	sont
de	de
gͣnt	grant
renom	renom
Nus	nus
n	n
i	i
remaint	remaint
qͥ	qu
l	il
n	n
i	i
viengne	viengne
a	a
bandon	bandon
Qͥ	qui
de	de
lui	lui
tiengne	tiengne
ne	ne
chastel	chastel
ne	ne
donion	donjon
.J.	.i.
plet	plet
deuisent	devisent
dont	dont
sont	sont
en	en
ꝯtençon	contençon
qQ̃	que
il	il
iront	iront
ꝯtre	contre
garsilion	garsilion
Le	le
roi	roi
d	d
espaigne	espaigne
qͥ	qui
tant	tant
ꝑ	par
est	est
felon	felon
Mes	mes
ainz	ainz
q̃	que
faille	faille
du	du
ior	jor
la	la
luoison	luoison
Orront	Orront
nouelles	novelles
dont	dont
seront	seront
en	en
friçon	friçon
Se	se
dex	dex
n	n
ẽ	en
pense	pense
ꝑ	par
son	son
saintisme	saintisme
nom	nom
De	de
douce	douce
france	france
perdront	perdront
la	la
regïon	regïon
EEs	Es
j	i
message	message
qͥ	qui
otinel	otinel
ot	ot
non	non
Messag͛	messagier
au	au
roi	roi
fu	fu
garsilon	garsilon
ꝑ	par
mi	mi
ꝑis	paris
cheuache	chevache
a	a
esꝑon	esperon
vint	vint
ou	ou
pales	pales
si	si
descent	descent
au	au
ꝑron	perron
Les	les
degres	degres
monte	monte
si	si
demande	demande
karlon	karlon
