token	normalised
KJ	ki
uolt	volt
oı̈r	oïr
chãcũ	chancun
de	de
beau	beau
sẽblãt	semblant
Dũt	dunt
bıen	bien
s̃t	sunt
faıt	fait
les	les
u͛s	vers
ꝑ	par
ꝯsonãt	cunsonant
Ore	ore
laıst	laist
la	la
noıse	noise
.	.
sı	si
se	se
treıe	treie
auãt	avant
Dırũ	dirum
la	la
flur	flur
de	de
la	la
geste	geste
uallãt	vallant
Del	del
fız	fiz
pepın	pepin
le	le
noble	noble
ꝯbatant	cumbatant
Des	des
duze	duze
pers	pers
qͥ	qui
s	s
entramerẽt	entramerent
tãt	tant
k	k
unc	unc
ne	ne
seuererẽt	severerent
tͤsk	tresk
a	a
un	un
ıor	jor
pesãt	pesant
ke	ke
Guenes	guenes
les	les
tͣı́̈	traí̈
od	od
la	la
saluage	salvage
gẽt	gent
vn	un
ıor	jor
mururẽt	mururent
vı̃t	vint
mıllıer	millier
e	e
set	set
.	.
cẽt	cent
De	de
cel	cel
barnage	barnage
,	,
dũt	dunt
charles	charles
ot	ot
doel	doel
gͣnt	grant
.	.
cıl	cil
ı́ugleor	j́ugleor
n	n
ẽ	en
dıẽt	dient
tãt	tant
ne	ne
qͣnt	quant
:	:
tuı́t	tuít
l	l
ont	ont
leıssé	leissé
k	k
ıl	il
ne	ne
seuẽt	sevent
nı́̈ent	ní̈ent
Lı	li
plusur	plusur
danger	danger
e	e
de	de
l	l
autrı	autri
chãtãt	chantant
Les	les
paroles	paroles
menues	menues
qͥ	qu
l	il
uõt	vont
ꝯtͦuant	cuntrovant
,	,
Mes	mes
ıl	il
ne	ne
seuẽt	sevent
mıe	mie
le	le
gͣnt	grant
desturbemẽt	desturbement
k	k
auı̃t	avint
a	a
charlemaıne	charlemaine
sı	si
subıtemẽt	subitement
.	.
Seı̃gn᷑s	seingnurs
ço	ço
fu	fu
le	le
ıor	jor
dũt	dunt
lı	li
ı̃nocẽt	innocent
sũt	sunt
.	.
A	a
parıs	paris
÷	est
ẽ	en
fͣnce	france
charles	charles
de	de
clermũt	clermunt
v	u
tınt	tint
sa	sa
curt	curt
plenere	plenere
,	,
.	.
lı	li
duze	duze
ꝑ	per
ı	i
sũt	sunt
.	.
Ml̃t	mult
par	par
est	est
la	la
