token	normalised
De	de
queı	quei
frɑnceıs	franceis
unt	unt
lı	li
plusur	plusur
enuı́e	envíe
.	.
est	est
lɑ	la
leı	lei
emplı́	emplí
.	.
ptıze	ptize
ɑuez	avez
urẽ	vostre
leı	lei
gerpı́e	gerpíe
.	.
prenez	prenez
meɑ	mea
fılhe	filhe
belıssent	belissent
ɑ	a
ɑmı́e	amíe
;	;
puR	pur
lı	li
uos	vos
doıns	doins
uerceles	verceles
e	e
ınorı́e	inoríe
,	,
chɑste	chaste
.	.
e	e
plɑcence	placence
,	,
melɑ	mela
.	.
e	e
pɑuı́e	pavíe
.	.
sıre	sire
serez	serez
de	de
tute	tute
lũbɑrdıe	lumbardie
.	.
Otınel	otinel
l	l
ot	ot
,	,
uers	vers
lɑ	la
t͛re	terre
se	se
plı́e	plíe
,	,
Les	les
pıez	piez
luı	lui
beıse	beise
,	,
formẽt	forment
se	se
humılı́e	humilíe
:	:
sıre	sire
fɑıt	fait
ıl	il
ço	ço
ne	ne
rufs	rufs
ıo	jo
mı́e	míe
,	,
sı	si
lɑ	la
pucele	pucele
cũmɑnde	cummande
e	e
ıo	jo
l	l
otrıe	otrie
.	.
Dıst	dist
belıssɑnt	belissant
:	:
e	e
ıo	jo
me	me
tıent	tient
pur	pur
garı́e	garíe
;	;
De	de
bon	bon
mɑrrı	marri
ne	ne
me	me
deı́t	deít
peseR	peser
mı́é	míé
.	.
Lɑ	la
meı	mei
ɑmuR	amur
n	n
ert	ert
Jɑ	ja
uers	vers
luı́	luí
guenchı́e	guenchíe
.	.
dıt	dit
otınel	otinel
:	:
quɑnt	quant
u⁹	vus
estes	estes
m	m
ɑmı́e	amíe
,	,
p᷑	pur
lɑ	la
urẽ	vostre
amur	amur
frɑı	frai
ıo	jo
chevɑlerı́e	chevaleríe
Deuɑnt	devant
ɑtılı́e	atilíe
ɑ	a
m	m
espéé	espéé
forbıéé	forbiéé
.	.
Mort	mort
sunt	sunt
pɑen	paen
quɑnt	quant
ɑı	ai
bɑptesmerı́e	baptesmeríe
.	.
Dreız	dreiz
emꝑeres	empereres
ɑ	a
u⁹	vus
cõmɑnt	commant
m	m
ɑmıe	amie
treske	treske
nos	nos
uenũs	venums
ɑl	al
pleıns	pleins
de	de
Lumbɑdı́e	lumbadíe
.	.
Les	les
noces	noces
serrunt	serrunt
ɑprez	aprez
toz	toz
ɑtelı́e	atelíe
,	,
Quɑnt	quant
ɑuerɑı	averai
mort	mort
l	l
emꝑur	emperur
Gɑrsı́e	garsíe
.	.
.	.
Den	den
sun	sun
pɑlɑıs	palais
ẽ	est
lı	li
reıs	reis
muntez	muntez
,	,
cıs	cis
grɑnz	granz
bɑrnɑges	barnages
ɑpres	apres
luı	lui
est	est
ɑlez	alez
;	;
Lı	li
mɑngı́r	mangír
est	est
p̃st	prest
e	e
cũrez	cunrez
;	;
cıl	cil
le	le
mɑngerent	mangerent
ɑ	a
quı	qui
ıl	il
fud	fud
donez	donez
.	.
ap̃s	apres
lı	li
suꝑs	supers
est	est
lı	li
uıns	vins
ɑportez	aportez
enz	enz
en	en
lɑ	la
chɑ̃bre	chambre
v	u
lı	li
reı́s	reís
est	est
entrez	entrez
.	.
DormıR	dormir
s	s
en	en
unt	unt
.	.
;	;
sı	si
unt	unt
les	les
hus	hus
