token	normalised
patͦclus	patroclus
fiert	fiert
desus	desus
lescu	lescu
hect̃	hector
	
le	le
fort	fort
ꝑ	par
tel	tel
uertu	vertu
coutre	coutre
ampassa	ampassa
li	li
f̃s	fers
bruniz	bruniz
	et
lanseigne	lanseigne
dou	dou
u	v
̃t	ert
samiz	samiz
sor	sor
le	le
haub̃c	hauberc
la	la
lãce	lance
archoie	archoie
	
esclat	esclat
ã	an
uolent	volent
si	si
pecoie	peçoie
hect̃	hector
	
ne	ne
muet	muet
ne	ne
ne	ne
chãcele	chancele
tres	tres
ꝑmi	parmi
la	la
targe	targe
nouele	novele
	et
ꝑ	par
laub̃c	lauberc
maillie	maillié
menu	menu
	
qį	que
patroclus	patroclus
auoit	avoit
vestu	vestv
	
conduist	conduist
le	le
boẽ	boen
espie	espié
tͤinchãt	treinchant
qį	que
tot	tot
le	le
piz	piz
li	li
uait	vait
fandãt	fandant
lecoer	lecoer
li	li
treinche	treinche
ã	an
·ii·	ii
mitiez	mitiez
ã	an
u	v
̃s	ers
chai	chaï
mort	mort
ases	ases
piez	piez
hector	hector
li	li
dist	dist
biẽ	bien
sai	sai
	
de	de
fi	fi
qį	que
uos	vos
nauez	navez
si	si
boen	boen
amj	ami
	
qͥ	qui
por	por
uos	vos
ist	preist
ceste	ceste
estrene	estrene
bien	bien
conq̃	conque
issoit	ïssoiz
nr̃eregne	nostreregne
qͥ	qui
le	le
uos	vos
uossist	vossist
cõsantir	consantir
porce	porce
doit	doit
an	an
	
desauãcir	desavancir
s	s
õ	on
esnemi	esnemi
	
qͥ	qui
faire	faire
ou	ou
puet	puet
cil	cil
ne	ne
lantãt	lantant
ne	ne
nese	nese
muet	muet
esquedexuost	[d]esquedexvost
le	le
mõt	mont
form̃	former
	
noi	noï
onq̃s	onques
n᷒	nus
hom	hom
parler	parler
q̃	que
cheual̃s	chevaliers
austsor	aüstsor
soj	soi
	
j	i
tex	tex
	
armes	armes
nel	ne
tel	tel
cõroi	conroi
	
destreĩge	destreinge
richece	richece
erẽt	erent
faites	faites
hect̃	hector
	
les	les
li	li
aüst	aüst
ia	ja
traites	traites
mais	mais
meriõ	merïon
la	la
esgarde	esgardé
	
auq̃s	auques
lauoit	lavoit
ia	ja
desarme	desarmé
	
voiant	voiant
	
tͦi	troi
mile	mile
	
cheual̃s	chevaliers
poĩt	point
u	v
̃s	ers
hect̃	hector
	
trestoz	trestoz
m̃s	premiers
puis	puis
lia	lia
dit	dit
los	los
ãragiez	anragiez
autre	autre
viande	viande
porchaciez	porchaciez
	
ja	ja
de	de
ceste	ceste
ne	ne
meingeroiz	meingeroiz
ainz	ainz
cuit	cuit
q̃	que
ch̃	chier
le	le
cõparroiz	comparroiz
tygres	tygres
leions	leions
orsse	orsse
desuee	desvee
q	q
ͣnt	uant
ont	ont
lor	lor
proie	proie
deuoree	devoree
si	si
la	la
uõt	vont
il	il
aillors	aillors
porter	porter
	et
tu	tu
tã	tan
uiaus	viaus
ci	ci
saouler	saouler
	
tu	tu
ꝑz	perz
ton	ton
pͥs	pris
⁊	et
ta	ta
ualor	valor
⁊	et
si	si
ꝑz	perz
tamie	tamie
⁊	et
tamor	tamor
nen	nen
auras	avras
mie	mie
si	si
morras	morras
james	james
ꝑ	par
lie	lié
secors	secors
nauras	navras
⁊	et
si	si
nen	nen
iras	iras
pas	pas
atant	atant
	
ge	ge
uoil	voil
q̃l	quel
face	face
son	son
talant	talant
detei	detei
ocire	ocire
⁊	et
crucier	crucïer
qͤl	quel
te	te
toille	toille
boiure	boivre
⁊	et
mẽgier	mengier
dormir	dormir
repox	repox
⁊	et
aleiance	alejance
sanz	sanz
buen	buen
espoir	espoir
sãz	sanz
atendãce	atendance
	
desor	désor
li	li
appareil	appareil
⁊	et
faz	faz
ꝯ	com
el	el
te	te
destreinne	destreinne
ẽ	en
ses	ses
laxz	laxz
si	si
faitement	faitement
a	a
parle	parlé
	
crucefi	crucefï
e	é
⁊	et
tormente	tormenté
fu	fu
achilles	achilles
desi	desi
qͣl	qual
ior	jor
en	en
duol	duol
en	en
lermes	lermes
⁊	et
ẽ	en
plor	plor
est	est
por	por
amor	amor
qͥ	qui
lo	lo
destͤint	destreint
molt	molt
÷	est
iriez	iriez
⁊	et
molt	molt
se	se
plaĩt	plaint
molt	molt
a	a
peine	peine
molt	molt
a	a
tͣ	tra
uaille	vaille
ne	ne
sont	sont
pas	pas
soen	soen
li	li
enuiaille	enviaille
desgeus	desgeus
ꝑtiz	partiz
nai	nai
pas	pas
lo	lo
chois	chois
	
gie	gié
meisme	meïsme
me	me
tͥche	triche
⁊	et
bois	bois
n᷒	nus
ne	ne
me	me
fet	fait
mal	mal
se	se
gie	gié
non	non
molt	molt
ai	ai
lo	lo
cuer	cuer
pesme	pesme
⁊	et
felon	felon
j	i
l	l
me	me
tͣ	tra
ist	ïst
il	il
me	me
deceit	deceit
mes	mes
mals	mals
conoist	conoist
⁊	et
aꝑceit	aperceit
nemen	nemen
esloigne	esloigne
ainz	ainz
mi	mi
atͣit	atrait
ahi	ahi
	
bel	bel[e]
	
tant	tant
mal	mal
mi	mi
uait	vait
	
tant	tant
sui	sui
ꝑ	par
uos	vos
desauoiez	desavoiez
⁊	et
de	de
ioie	joie
desconseilliez	desconseilliez
	
riens	riens
ne	ne
me	me
puet	puet
fors	fors
u	v
᷒	os
ualeir	valeir
ico	iço
me	me
tome	tome
adesespeir	adesespeir
qį	que
gie	gié
ne	ne
puis	puis
a	a
uos	vos
ꝑler	parler
ne	ne
uostͤ	vostre
face	face
remirer	remirer
ne	ne
conter	conter
uos	vos
ma	ma
gͣnt	grant
dolor	dolor
ha	ha
dolce	dolce
fine	fine
fresche	fresche
flor	flor
sor	sor
les	les
beles	beles
esperitax	esperitax
⁊	et
sor	sor
totes	totes
angeliax	angeliax
ꝯ	com
gie	gié
ꝑt	pert
ꝑ	par
uos	vos
la	la
uie	vie
sanz	sanz
auoir	avoir
secors	secors
naie	naïe
	
	(quelienfantgotenevitdevantcequilfuamenez)
au	au
sepulcre	sepulcre
ala	ala
debonaire	debonaire
damledex	damledex
por	por
samor	samor
esclaire	esclaire
lenfant	lenfant
	
⁊	et
lirent	lirent
sa	sa
ueue	veüe
q̃	que
onq̃s	onques
mes	mes
nauoit	navoit
eue	eüe
v	u
ns	ns
hom	hom
quiert	quiert
deparis	deparis
nez	nez
ausepulcre	ausepulcre
fu	fu
amenez	amenez
toz	toz
enragiez	enragiez
⁊	et
fors	fors
delsen	delsen
enmaint	enmaint
leu	leu
mene	mené
lauoit	lavoit
en	en
amaint	amaint
saint	saint
	
⁊	et
amainte	amainte
sainte	sainte
	
onq̃s	onques
porce	porce
nefu	nefu
esteinte	esteinte
sadolor	sadolor
neguerir	neguerir
nepot	nepot
porce	porce
q̃	que
damledeu	damledeu
neplot	neplot
tantost	tantost
cum	cum
ausepulcre	ausepulcre
fu	fu
not	not
onq̃s	onques
puis	puis
point	point
deu	dev
̃tu	ertu
lideables	lideables
quil	quil
ot	ot
elcors	elcors
enelepas	enelepas
sen	sen
issi	issi
fors	fors
⁊	et
cil	cil
remest	remest
sains	sains
⁊	et
gueriz	gueriz
beneoiz	beneoiz
soit	soit
sains	sains
esꝑizqilome	esperizq[u]ilome
enragͥ	enragi
e	é
deliura	delivra
por	por
lasainte	lasainte
que	que
tant	tant
ama	ama
deuant	devant
lafiertre	lafiertre
uient	vient
tot	tot
droit	droit
vne	une
fame	fame
qui	qui
nee	nee
estoit	estoit
dune	dune
uilete	vilete
saint	saint
denis	denis
qiauoit	q[u]iavoit
anon	anon
luuignis	luvignis
einsint	einsint
ert	ert
la	la
uile	vile
nomee	nomee
cele	cele
fame	fame
estoit	estoit
molt	molt
greuee	grevee
dune	dune
fieure	fievre
quilatenoit	quilatenoit
qimolt	q[u]imolt
forment	forment
ladestraignoit	ladestraignoit
empirie	empirie
liauoit	liavoit
lecors	lecors
⁊	et
empali	empali
ꝑ	par
dedefors	dedefors
p᷑	por
lui	lui
derien	derien
nese	nese
deshete	deshete
q̃	que
ses	ses
basions	basions
liest	liest
cheuz	cheüz
	et
cil	cil
gist	gist
pres	pres
come	come
feuz	feüz
qͥ	qui
l	l
ne	ne
se	se
crosle	crosle
ne	ne
ne	ne
muet	muet
	
mes	mes
tant	tant
i	i
a	a
q̃	que
parler	parler
puet	puet
	et
dist	dist
si	si
com	com
il	il
li	li
pot	pot
dire	dire
	
ostez	ostez
ur̃e	vostre
lyeon	lyeon
biax	biax
sire	sire
se	se
u	v
᷒	os
plest	plest
q̃	que
pl᷒	plus
ne	ne
madoist	madoist
q̃	que
desormes	desormés
faire	faire
uos	vos
loist	loist
de	de
moi	moi
tot	tot
ce	ce
q̃	que
boen	boen
u	v
᷒	os
iert	iert
	et
qͥ	qui
merci	merci
prie	prie
	et
reqͥert	requiert
nidoit	nidoit
faillir	faillir
cilqͥ	cilqui
larueue	larueve
sehome	sehome
sanz	sanz
pitie	pitié
netrueue	netrueve
	et
iene	jene
me	me
desfandrai	desfandrai
plus	plus
ne	ne
ia	ja
nereleuerai	nereleverai
sus	sus
deci	deci
p᷑	por
force	force
q̃	que
ie	je
aie	aie
si	si
