token	normalised
Aussi	Aussi
tost	tost
cõme	comme
elle	elle
ot	ot
ce	ce
dit	dit
Plus	Plus
ne	ne
la	la
vi	vi
dõt	dont
pas	pas
ne	ne
rit	rit
Mon	Mon
cuer	cuer
qui	qui
dolẽt	dolent
en	en
estoit	estoit
Mais	Mais
faire	faire
plus	plus
il	il
n	n
ẽ	en
pouoit	pouoit
Toutes	Toutes
voies	voies
voies	voies
aler	aler
ma	ma
voie	voie
Si	Si
come	come
ꝓposé	proposé
l	l
avoie	avoie
Je	Je
ne	ne
vos	vos
pas	pas
entreleissier	entreleissier
Ains	Ains
m	m
i	i
voul	voul
de	de
lors	lors
avoier	avoier
A	A
memoire	memoire
dis	dis
qu	qu
elle	elle
venist	venist
Aprés	Aprés
moy	moy
et	et
q̃lle	quelle
me	me
suist	suist
Que	Que
mes	mes
armeures	armeures
aportast	aportast
Et	Et
que	que
nulle	nulle
rien	rien
n	n
oubliast	oubliast
Elle	Elle
voir	voir
le	le
fist	fist
ainsi	ainsi
Tout	Tout
aporta	aporta
rien	rien
ne	ne
ꝑdi	perdi
Et	Et
il	il
en	en
estoit	estoit
gͣnt	grant
mestiers	mestiers
Quar	Quar
puis	puis
trouvay	trouvay
tãt	tant
d	d
ẽcõbriers	encombriers
Que	Que
s	s
aucune	aucune
fois	fois
n	n
eusse	eusse
esté	esté
D	D
armes	armes
garni	garni
mort	mort
eusse	eusse
esté	esté
Nõ	Non
pas	pas
q̃	que
to᷒	tous
jours	jours
les	les
vestisse	vestisse
A	A
mes	mes
besoings	besoings
ne	ne
ne	ne
preisse	preisse
Quar	Quar
maĩtes	maintes
fois	fois
ꝑ	par
ma	ma
paresse	paresse
Cops	Cops
de	de
dars	dars
et	et
de	de
saiete	saiete
Souffri	Souffri
q̃	que
souffert	souffert
n	n
eusse	eusse
Si	Si
biẽ	bien
armé	armé
esté	esté
eusse	eusse
Or	Or
vo᷒	vous
ay	ay
dit	dit
tout	tout
sãs	sans
mẽsõge	mensonge
Une	Une
partie	partie
de	de
mõ	mon
songe	songe
Le	Le
remenãt	remenant
vo᷒	vous
conteray	conteray
Si	Si
aprés	aprés
ꝙͣ	quant
tẽps	temps
en	en
aray	aray
Et	Et
vous	vous
plus	plus
volẽtiers	volentiers
l	l
orés	orés
Quãt	Quant
un	un
po	po
reposez	reposez
serez	serez
Sans	Sans
entreval	entreval
trestout	trestout
ennuye	ennuye
Et	Et
le	le
bien	bien
tẽps	temps
et	et
si	si
de	de
pluie	pluie
Une	Une
autre	autre
fois	fois
vo᷒	vous
revenrés	revenrés
Se	Se
plus	plus
oïr	oïr
vo᷒	vous
en	en
voulez	voulez
Et	Et
tandis	tandis
je	je
m	m
aviseray	aviseray
D	D
a	a
point	point
compter	compter
si	si
ꝯme	comme
sõgay	songay
A	A
chemĩ	chemin
me	me
mis	mis
sans	sans
targier	targier
Et	Et
com̃ensay	commensay
a	a
costoier	costoier
La	La
mer	mer
tout	tout
selonc	selonc
le	le
rivage	rivage
Mes	Mes
pas	pas
ne	ne
fis	fis
ml̃t	moult
grãt	grant
voyage	voyage
Que	Que
vi	vi
douce	douce
gens	gens
seignés	seignés
vo᷒	vous
Vne	Vne
laide	laide
beste	beste
que	que
tous	tous
Que	Que
biẽ	bien
regarder	regarder
l	l
aroient	aroient
Jamais	Jamais
asseur	asseur
ne	ne
seroient	seroient
Pour	Pour
moy	moy
le	le
di	di
mama	mama
le	le
crient	crient
Toutez	Toutez
les	les
fois	fois
qu	qu
il	il
l	l
ẽ	en
souviẽt	souvient
Celle	Celle
beste	beste
estoit	estoit
desguisee	desguisee
Si	Si
laidem̃t	laidement
figuree	figuree
Si	Si
que	que
du	du
ꝑler	parler
grãt	grant
hisde	hisde
aroie	aroie
Se	Se
longuem̃t	longuement
vo᷒	vous
em	em
ꝑloie	parloie
Ordené	Ordené
ai	ai
que	que
paĩturee	painturee
Elle	Elle
soit	soit
ici	ici
et	et
figuree	figuree
Afin	Afin
que	que
qui	qui
voudra	voudra
la	la
voia	voia
Autrem̃t	Autrement
chevir	chevir
n	n
en	en
saroie	saroie
Toutes	Toutes
voiez	voiez
tant	tant
vo᷒	vous
ẽ	en
di	di
Que	Que
en	en
la	la
mer	mer
peschier	peschier
le	le
vi	vi
Dedens	Dedens
avoit	avoit
getez	getez
ses	ses
ains	ains
Et	Et
la	la
ligne	ligne
tenoit	tenoit
aus	aus
maĩs	mains
Un	Un
cor	cor
au	au
col	col
pendu	pendu
avoit	avoit
Et	Et
un	un
trousel	trousel
de	de
las	las
portoit	portoit
Et	Et
rois	rois
volens	volens
avoit	avoit
tenduez	tenduez
Sur	Sur
la	la
mer	mer
au	au
dessous	dessous
les	les
nuez	nuez
Quãt	Quant
venir	venir
me	me
vit	vit
