token	normalised
Patͦclus	Patroclus
fiert	fiert
desus	desus
lescu	lescu
Hect̃	Hector
le	le
fortꝑ	fortpar
tel	tel
uertu	vertu
coutre	coutre
ampassa	ampassa
li	li
f̃s	fers
bruniz	bruniz
lanseigne	etlanseigne
dou	dou
ũt	vert
samiz	samiz
Sor	Sor
le	le
haub̃c	hauberc
la	la
lãce	lance
archoie	archoie
esclat	esclat

ãuolent	anvolent
si	si
pecoie	peçoie
Hect̃	Hector
ne	ne
muet	muet
ne	ne
ne	ne
chãcele	chancele
Tres	Tres
ꝑmi	parmi
la	la
targe	targe
nouele	novele
ꝑ	etpar
laub̃c	lauberc
maillie	maillié
menu	menu
QįPatroclus	quePatroclus
auoit	avoit
vestu	vestv
conduist	conduist
le	le
boẽ	boen
espie	espié

tͤinchãt	treinchant
Qįtot	quetot
le	le
piz	piz
liuait	livait
fandãt	fandant
Lecoer	Lecoer
li	li
treinche	treinche
ã·ii·	anII
mitiez	mitiez
ãũs	anvers
chai	chaï
mort	mort
ases	ases
piez	piez
Hector	Hector
li	li
dist	dist
Biẽ	Bien
sai	sai
de	de
fi	fi
Qįuos	quevos
nauez	navez

si	si
boen	boen
amj	ami
qͥpor	quipor
uos	vos
ist	preist
ceste	ceste
estrene	estrene
Bien	Bien
conq̃issoitnr̃eregne	conqueïssoiznostreregne
qͥle	quile
uos	vos
uossist	vossist
cõsantir	consantir
Porce	Porce
doit	doit
an	an
desauãcir	desavancir
s	s
õesnemi	onesnemi
qͥ	qui
faire	faire
ou	ou
puet	puet
Cil	Cil

ne	ne
lantãt	lantant
ne	ne
nese	nese
muet	muet
esqueDexuost	[D]esqueDexvost
le	le
mõt	mont
form̃	former
noi	noï
onq̃s	onques
n᷒	nus
hom	hom
parler	parler
Q̃cheual̃s	quechevaliers
austsor	aüstsor
soj	soi
Jtex	itex
armes	armes
neltel	netel
cõroi	conroi
destreĩge	destreinge
richece	richece
erẽt	erent
faites	faites

Hect̃	Hector
les	les
li	li
aüst	aüst
ia	ja
traites	traites
mais	mais
Meriõla	Merïonla
esgardE	esgardé
auq̃s	auques
lauoit	lavoit
ia	ja
desarme	desarmé
Voiant	Voiant
tͦi	troi
mile	mile
cheual̃s	chevaliers
poĩt	point
ũs	vers
Hect̃	Hector
trestoz	trestoz
m̃s	premiers
puis	puis
lia	lia
dit	dit

Los	Los
ãragiez	anragiez
autre	autre
viande	viande
porchaciez	porchaciez
ja	ja
de	de
ceste	ceste
ne	ne
meingeroiz	meingeroiz
ainz	ainz
cuit	cuit
q̃	que
ch̃	chier
le	le
cõparroiz	comparroiz
Tygres	Tygres
leions	leions
orsse	orsse
desuee	desvee
Qͣnt	Quant
ont	ont
lor	lor
proie	proie
deuoree	devoree

si	si
la	la
uõt	vont
il	il
aillors	aillors
porter	porter
	Et
tu	tu
tãuiaus	tanviaus
ci	ci
saouler	saouler
Tu	Tu
ꝑz	perz
ton	ton
pͥs	pris
⁊	et
ta	ta
ualor	valor
⁊	Et
si	si
ꝑz	perz
tamie	tamie
⁊	et
tamor	tamor
Nen	Nen

auras	avras
mie	mie
si	si
morras	morras
James	James
ꝑ	par
lie	lié
secors	secors
nauras	navras
⁊si	etsi
nen	nen
iras	iras
pas	pas
atant	atant
ge	ge
uoil	voil
q̃l	quel
face	face
son	son
talant	talant
detei	detei
ocire	ocire
⁊	et
crucier	crucïer
qͤl	qu'el

te	te
toille	toille
boiure	boivre
⁊	et
mẽgier	mengier
dormir	dormir
repox	repox
⁊	et
aleiance	alejance
sanz	sanz
buen	buen
espoir	espoir
sãz	sanz
atendãce	atendance
Desor	Désor
li	li
appareil	appareil
⁊	et
faz	faz
ꝯ	com
el	el
te	te
destreinne	destreinne
ẽ	en
ses	ses

laxz	laxz
Si	Si
faitement	faitement
a	a
parle	parlé
crucefie⁊	crucefïéet
tormente	tormenté
fu	fu
achilles	achilles
desi	desi
qͣl	qual
ior	jor
En	En
duol	duol
en	en
lermes	lermes
⁊	et
ẽ	en
plor	plor
est	est
por	por
amor	amor
qͥ	qui
lo	lo
destͤint	destreint

gie	gié
meisme	meïsme
me	me
tͥche	triche
⁊	et
bois	bois
n᷒	nus
ne	ne
me	me
fet	fait
mal	mal
se	se
gie	gié
non	non
Molt	Molt
ai	ai
lo	lo
cuer	cuer
pesme	pesme
⁊	et
felon	felon
Jl	il
me	me
tͣist	traïst
il	il

me	me
deceit	deceit
Mes	Mes
mals	mals
conoist	conoist
⁊	et
aꝑceit	aperceit
nemen	nemen
esloigne	esloigne
ainz	ainz
mi	mi
atͣit	atrait
Ahi	Ahi
bel	bel[e]
tant	tant
mal	mal
mi	mi
uait	vait
Tant	Tant
sui	sui
ꝑuos	parvos
desauoiez	desavoiez
⁊	et
de	de
ioie	joie

desconseilliez	desconseilliez
Riens	Riens
ne	ne
me	me
puet	puet
fors	fors
u᷒ualeir	vosvaleir
Ico	Iço
me	me
tome	tome
adesespeir	adesespeir
Qįgie	quegié
ne	ne
puis	puis
a	a
uos	vos
ꝑler	parler
ne	ne
uostͤ	vostre
face	face
remirer	remirer
ne	ne
conter	conter
uos	vos
ma	ma

gͣnt	grant
dolor	dolor
Ha	Ha
dolce	dolce
fine	fine
fresche	fresche
flor	flor
sor	sor
les	les
beles	beles
esperitax	esperitax
⁊	et
sor	sor
totes	totes
angeliax	angeliax
ꝯ	com
gieꝑt	giépert
ꝑuos	parvos
la	la
uie	vie
sanz	sanz
auoir	avoir
secors	secors
naie	naïe
	(quelienfantgotenevitdevantcequ'ilfuamenez)

enragiez	enragiez
⁊fors	etfors
delsen	delsen
Enmaint	Enmaint
leu	leu
mene	mené
lauoit	lavoit
en	en
amaint	amaint
saint	saint
⁊amainte	etamainte
sainte	sainte
onq̃s	onques
porce	porce
nefu	nefu
esteinte	esteinte
sadolor	sadolor
neguerir	neguerir
nepot	nepot
porce	porce
q̃Damledeu	queDamledeu
neplot	neplot
Tantost	Tantost
cum	cum
ausepulcre	ausepulcre

fu	fu
not	not
onq̃s	onques
puis	puis
point	point
deũtu	devertu
lideables	lideables
quil	quil
ot	ot
elcors	elcors
Enelepas	Enelepas
sen	sen
issi	issi
fors	fors
⁊cil	etcil
remest	remest
sains	sains
⁊	et
gueriz	gueriz
Beneoiz	Beneoiz
soit	soit
Sains	Sains
Esꝑiz	Esperiz
qilome	q[u]ilome
enragͥe	enragié

deliura	delivra
por	por
lasainte	lasainte
que	que
tant	tant
ama	ama
Deuant	Devant
lafiertre	lafiertre
uient	vient
tot	tot
droit	droit
vne	une
fame	fame
qui	qui
nee	nee
estoit	estoit
dune	dune
uilete	vilete
saint	saint
Denis	Denis
qiauoit	q[u]iavoit
anon	anon
luuignis	luvignis
einsint	einsint
ert	ert

lauile	lavile
nomee	nomee
Cele	Cele
fame	fame
estoit	estoit
molt	molt
greuee	grevee
dune	dune
fieure	fievre
quilatenoit	quilatenoit
qimolt	q[u]imolt
forment	forment
ladestraignoit	ladestraignoit
Empirie	Empirie
liauoit	liavoit
lecors	lecors
⁊empali	etempali
ꝑdedefors	pardedefors
P᷑lui	Porlui
derien	derien
nese	nese
deshete	deshete
Q̃ses	queses
basions	basions
liest	liest

cheuz	cheüz
cil	Etcil
gist	gist
pres	pres
come	come
feuz	feüz
Qͥl	qu'il
ne	ne
se	se
crosle	crosle
ne	ne
ne	ne
muet	muet
mes	mes
tant	tant
i	i
a	a
q̃	que
parler	parler
puet	puet
dist	etdist
si	si
com	com
il	il
li	li

pot	pot
dire	dire
Ostez	Ostez
ur̃e	vostre
lyeon	lyeon
biax	biax
sire	sire
seu᷒	sevos
plestq̃	plestque
pl᷒	plus
ne	ne
madoist	madoist
Q̃desormes	quedesormés
faire	faire
uos	vos
loist	loist
de	de
moi	moi
tot	tot
ce	ce
q̃	que
boen	boen
u᷒	vos
iert	iert
qͥmerci	Etquimerci

prie	prie
reqͥert	etrequiert
nidoit	nidoit
faillir	faillir
cilqͥ	cilqui
larueue	larueve
sehome	sehome
sanz	sanz
pitie	pitié
netrueue	netrueve
iene	Etjene
me	me
desfandrai	desfandrai
plus	plus
neia	neja
nereleuerai	nereleverai
sus	sus
deci	deci
p᷑	por
force	force
q̃ie	queje
aie	aie
si	si
me	me
met	met

an	an
ur̃e	vostre
menaie	menaie
Di	Di
donc	donc
fet	fet
cil	cil
se	se
tu	tu
otroies	otroies
Q̃uaĩcuz	quevaincuz
	et
recreanz	recreanz
soies	soies
Sire	Sire
fet	fet
il	il
ilipert	ilipert
bien	bien
Veincuz	Veincuz
sui	sui
maleoit	maleoit
gre	gré
mien	mien
recreanz	etrecreanz

ceuos	cevos
otroj	otroi
Donc	Donc
nas	nas
tu	tu
mes	mes
garde	garde
demoj	demoi
mes	etmes
lyeons	lyeons
teraseure	teraseüre
Tantost	Tantost
uienẽt	vienent
gͣnt	grant
aleure	aleüre
totes	totes
lesgenz	lesgenz
anuirõ	anviron
luj	lui
li	etli
sire	sire
	et
la	la
dame	dame
anduj	andui

lifont	lifont
gͣnt	grant
ioie	joie
silacolent	etsilacolent
delor	etdelor
fille	fille
li	li
parolent	parolent
Sili	Sili
dient	dient
Orseroiz	Orseroiz
