token	normalised
ci	ci
coumence	coumence
li	li
dialogues	dialogues
que	que
postumiens	postumiens
gallus	etgallus
distrent	distrent
de	de
seint	seint
martin	martin
des	etdes
moines	moines
d	d
egẏ	egy
pte	pte
si	si
ꝯ	com
seuerus	severus
le	le
raꝯte	raconte
qͥ	qi
les	les
oi	oï
ꝑler	parler
un	un
ior	jor
auint	avint
qe	qe
ie	je
gallus	gallus
et	et
mes	mes
chiers	chiers
compains	compains
qi	qi
deciples	deciples
fu	fu
seint	seint
martin	martin
estions	estions
ensamble	ensamble
laou	laou
nos	nos
ꝑlions	parlions
depluiseurs	depluiseurs
chosespostumiens	chosespostumiens
i	uns
miens	miens
tres	tres
chiers	chiers
amis	amis
uint	vint
deuers	devers
oriēt	orient
deuers	etdevers
la	la
terre	terre
d	d
egẏpte	egypte
ouil	ouil
auoit	avoit
iii	iii
anz	anz
demoreqant	demoréqant
ie	je
le	le
ui	vi
iefui	jefui
mout	mout
liez	liez
desa	desa
uenuesi	venuesi
lacolai	lacolai
baisai	etbaisai
	et
ꝯmen	conmen
cames	çames
aplorer	aplorer
li	li
uns	uns
uers	vers
lautre	lautre
de	de
ioie	joie
un	etun
pou	pou
apres	aprés
sinos	sinos
asseimes	asseïmes
dont	dont
me	me
regarda	regarda
postumiens	postumiens
si	etsi
dist	dist
laouieestoieesdaerrenierespartiesdegẏpteilmeplotuintenuolenteqeiemenalassealamer.qantieiuingieitrouaiunenefchargiedepluisorsauoirs.qisaparelloientamouoir.poraleranerbone.encelenuitsicomieestoiecouchiezmeuintenauision:qetuuenoiesdeuantmoisimesambloit.qetumeuoloiesꝑlameinenceleneftreireporceqeieientrasseqeiecauenisse.qantlanuizfutrespasseeliiorsfuuenuz.iefuileuezdelleuouieauoiegeuiemepensaideceleauisionqeieꝑsongesauoieueuesifuimeintenantesprisdunesigrantamoruerstoi:qeieentraisanzdemoranceenlanef.etlorsmeumessiuenimestantꝑlauolontenostresignor:qaltrentimeiorariuamesamarselledelauingieciauuintismeior.orestreisonqetumefacesgrantfestepuisqeiaiportoitanteterretantemertrespassee.	laoujeestoieesdaerrenierespartiesdegypteilmeplotetvintenvolentéqejemenalassealamer.qantjeivingjeitrovaiunenefchargiedepluisorsavoirs.qisaparelloientamovoir.poraleranerbone.encelenuitsicomjeestoiecouchiezmevintenavision:qetuvenoiesdevantmoietsimesambloit.qetumevoloiesparlameinenceleneftreireporceqejeientrasseetqejeçavenisse.qantlanuizfutrespasseeetlijorsfuvenuz.etjefuilevezdelleuoujeavoiegeüjemepensaideceleavisionqejeparsongesavoieveüesifuimeintenantesprisdunesigrantamorverstoi:qejeentraisanzdemoranceenlanef.etlorsmeümessivenimestantparlavolonténostresignor:qaltrentimejorarivamesamarselleetdelavingjeciauvintismejor.orestreisonqetumefacesgrantfestepuisqejaiportoitanteterreettantemertrespassee.
ie	je
seuerus	severus
respondi	respondi
a	a
postumien	postumien
qi	qi
tieus	tieus
choses	choses
mot	mot
contees	contees
laoutuestoiesenegẏptetuidemoroiespensoieieleiorlanuitatoi.mesorteprieieqetunosracontestoteslesauenturesdetauoie:ꝯmentlafoinostresignorestenorientgardeeqeleriuleqeleinstitutionsiestasmoignesdonee.quelsmiraclesquelsuertus.nostresiresiesucrizifetporsesserzqilaorentseruentcroient.etporceqelauieestmoltannieuseapluisorsgenzencesteregionencestecontree,uoudroieiedetoimoutuolentiersoirentendre.silfaitbonuiuresontensuserenlermitage.	laoutuestoiesenegypteettuidemoroiespensoiejelejoretlanuitatoi.mesortepriejeqetunosracontestoteslesaventuresdetavoie:etconmentlafoinostresignorestenorientgardeeetqeleriuleetqeleinstitutionsiestasmoignesdonee.etquelsmiraclesetquelsvertus.nostresiresjesucrizifetporsesserzqilaorentetserventetcroient.etporceqelavieestmoltannieuseapluisorsgenzencesteregionetencestecontree,voudroiejedetoimoutvolentiersoïretentendre.silfaitbonvivreetsontensuserenlermitage.
aces	aces
ꝑoles	paroles
respondi	respondi
postumiens	postumiens
si	etsi
dist	dist
ieferaiceqeieteuoidesirrer.portauolonteacomplir.mesietepriqetumediesselieuesqedecestecontree.sontdautelmaniereqeieleslessaiqantiemepartidecestecontree.	jeferaiceqejetevoidesirrer.portavolontéacomplir.mesjetepriqetumediesselievesqedecestecontree.sontdautelmaniereqejeleslessaiqantjemepartidecestecontree.
lors	lors
respondi	respondi
ie	je
onqesnedemandetelchosesetulasuraiem̅toiseucaraussibienlesestuꝯmeie,sicomiecuitetsetunelesesnulechosenestmiudreaoirneaentendre.cenepuisiemietereqeienetedieracontetantsolement:delachosetantcomilenest.uniotdeseuesqesqiplusaspresfudensiureseintesoeuresqeliautre,sicomielesaibiencariefuiensambleoluiadessilamaisortotescreatures.etqantilmesouientdeluidesesoeures,grantdolormepointaucuerporcequilnadeguerpizlessiez.etiemesmerueilconmentilfusinostreamis:puissinousdeguerpientelemaniere.mesporceqilnestoremieneleusnetens:deconterchosesqifacentaplorerteprieieqetunosracontesceqetunosauoiespromisadiresilorronsentenderons.	onqesnedemandetelchosesetulasvraiementoïetseücaraussibienlesestuconmeje,sicomjecuitetsetunelesesnulechosenestmiudreaoïrneaentendre.cenepuisjemietereqejenetedieetracontetantsolement:delachosetantcomilenest.uniotdesevesqesqiplusaspresfudensivreseintesoevresqeliautre,sicomjelesaibiencarjefuiensambleoluiadésetsilamaisortotescreatures.etqantilmesovientdeluietdesesoevres,grantdolormepointaucuerporcequilnosadeguerpizetlessiez.etjemesmerveilconmentilfusinostreamis:etpuissinousdeguerpientelemaniere.mesporceqilnestoremieneleusnetens:deconterchosesqifacentaplorertepriejeqetunosracontesceqetunosavoiespromisadiresilorronsetentenderons.
postumiens	postumiens
respondi	respondi
ensiuoelieqilsoit.	ensivoeljeqilsoit.
qant	qant
il	il
ot	ot
ce	ce
dit	dit
nos	nos
nos	nos
te	te
umes	ümes
feimes	etfeïmes
pessi	pessi
escoutames	escoutames
il	etil
trest	trest
son	son
siege	siege
seur	seur
qoi	qoi
il	il
seoit	seoit
pluspres	pluspres
de	de
moi	moi
si	si
comenca	comença
aparler	aparler
entel	entel
maniere	maniere
